Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
585,Ceraphrine,,,Neutrals,undefined,Orcas,The Frozen Heart,town,20034,414.39,877.04,-16.6,-120.94,361,25°C,Miami (USA),,,,,,,,{t1:or;charges:[{charge:shears;t:gules;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Ceraphrine&population=20034&size=40&seed=5864998610585&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
586,Blodclaw,Thunder,Thunder County,Sumpkin,Marches of Sumpkin,Newts,The Frozen Heart,town,5327,595.7,882.4,-17.25,-98.9,1764,16°C,Dubrovnik (Croatia),,,citadel,,,,,{t1:vert;division:{division:perFess;t:argent;line:straight};ordinaries:[{ordinary:fess;t:or;line:straight;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Blodclaw&population=5327&size=24&seed=5864998610586&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
587,Scutaimpe,Scutaimpa,Scutaimpa Territory,Scute,Scutean Confederacy,Monitor-Kin,The Whisperers,village,36439,2598.04,884.19,-17.46,144.45,3136,7°C,Montreal (Canada),,,citadel,,,,,{t1:sable;charges:[{charge:raven;t:sable;p:def;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=36439&name=Scutaimpe&seed=5864998610587&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
588,Sylphriaxa,,,Neutrals,undefined,Orcas,The Frozen Heart,town,2528,422.8,899.3,-19.3,-119.92,289,25°C,Miami (USA),,,,walls,,,,{t1:sable;charges:[{charge:mullet6Faceted;t:argent;p:kn;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Sylphriaxa&population=2528&size=18&seed=5864998610588&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
589,Ironfistfal,Ironfistfal,Ironfistfal Canton,Meridian Chain,Meridian Chainese League,Serpent-Kin,The Blind Spot,town,11044,2500.71,893.24,-18.56,132.62,225,26°C,Jakarta (Indonesia),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:cross;t:vert;line:rayonne}];charges:[{charge:crossPotent;t:or;p:beh;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Ironfistfal&population=11044&size=32&seed=5864998610589&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
590,Night,Lumina,Lumina Canton,Meridian Chain,Meridian Chainese League,Moray-Kin,The Whisperers,town,6720,2082.47,979.73,-29.08,81.79,441,22°C,Guangzhou (China),,,,,,,,{t1:gules;ordinaries:[{ordinary:fess;t:argent;line:straight}];charges:[{charge:castle2;t:gules;p:def;t2:gules;t3:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Night&population=6720&size=27&seed=5864998610590&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
591,Blosparksper,Chermurge,Chermurge County,Flower Valley,Flower Valley Marches,Moon-Blossoms,The Whisperers,town,48861,1712.8,982.7,-29.44,36.86,1849,13°C,Milan (Italy),,,citadel,,plaza,,,{t1:purpure;charges:[{charge:lanceWithBanner;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Blosparksper&population=48861&size=57&seed=5864998610591&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
592,Coldthorn,Aetherwhis,Aetherwhis Territory,Ursine,Ursinean Oligarchy,Roach-Kin,The Whisperers,town,15662,1057.77,1012.55,-33.06,-42.75,361,22°C,Guangzhou (China),,,citadel,,,,,{t1:or;charges:[{charge:stirrup;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Coldthorn&population=15662&size=37&seed=5864998610592&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
593,Aetherisperu,Nightstorm,Nightstorm Canton,Meridian Chain,Meridian Chainese League,Walrus-Kin,The Whisperers,town,9560,2234.93,1025.62,-34.65,100.32,2116,10°C,London (England),,,citadel,walls,,,,{t1:gules;ordinaries:[{ordinary:chief;t:argent;line:straight}];charges:[{charge:fusil;t:argent;p:emo;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Aetherisperu&population=9560&size=30&seed=5864998610593&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
594,Chainvilstri,,,Neutrals,undefined,Crocodilians,The Whisperers,town,2941,2758.69,1129.01,-47.22,163.97,625,18°C,Barcelona (Spain),,port,,,,,,{t1:argent;division:{division:perCross;t:purpure;line:straight};ordinaries:[{ordinary:fessCotissed;t:azure;line:straight}];charges:[{charge:dolphin;t:argent;p:e;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Chainvilstri&population=2941&size=19&seed=5864998610594&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.9
595,Nyla,,,Neutrals,undefined,Walrus-Kin,The Whisperers,village,8332,2249.32,1142.98,-48.92,102.07,2116,8°C,Prague (Czechia),,,,,,,,{t1:gemelles-argent-gules;division:{division:perChevronReversed;t:purpure;line:straight};shield:heater},https://watabou.github.io/village-generator/?pop=8332&name=Nyla&seed=5864998610595&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
596,Thornsurtex,Whispercur,Whispercur Province,Vaneer,Protectorate of Vaneer,Gar-Pikes,Wreckless Motion,town,54635,1200.21,1154.1,-50.27,-25.44,225,21°C,Tegucigalpa (Honduras),,port,,,,,,{t1:azure;division:{division:perSaltire;t:argent};charges:[{charge:feather;t:or;p:b;size:0.5};{charge:scythe;t:purpure;p:d;size:0.5};{charge:mapleLeaf;t:azure;p:f;size:0.5};{charge:tower;t:or;p:h;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Thornsurtex&population=54635&size=59&seed=5864998610596&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
597,Celemelespe,,,Neutrals,undefined,Walrus-Kin,Cult of Identity,city,3741,2086.18,1165.85,-51.7,82.24,324,19°C,Marrakesh (Morocco),,,citadel,,,,,{t1:argent;division:{division:perPale;t:azure;line:straight};charges:[{charge:crossCalvary;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Celemelespe&population=3741&size=21&seed=5864998610597&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
598,Aethoria,,,Neutrals,undefined,Walrus-Kin,Cult of Identity,city,28448,2102.03,1203.9,-56.32,84.16,2304,6°C,Stockholm (Sweden),,port,,,,,,{t1:or;ordinaries:[{ordinary:bendletSinister;t:purpure;line:arched}];charges:[{charge:crossClechy;t:argent;p:lem;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Aethoria&population=28448&size=46&seed=5864998610598&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.46
599,Aetrex,,,Neutrals,undefined,Walrus-Kin,Cult of Identity,town,2797,2147.5,1214.02,-57.55,89.69,2025,8°C,Prague (Czechia),,,,walls,,,,{t1:sable;charges:[{charge:wolfHeadErased;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Aetrex&population=2797&size=19&seed=5864998610599&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
600,Hearthrob,Heartshard,Heartshard Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,village,13457,1100.04,1245.82,-61.42,-37.61,324,18°C,Barcelona (Spain),,port,,walls,,,,{t1:or;charges:[{charge:anchor;t:sable;p:abc;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=13457&name=Hearthrob&seed=5864998610600&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cpalisade%2Cdense
601,Frostfang,Shalenomsha,Shalenomsha Canton,RiverFolk,RiverFolk Trade Company,Small-Paws,The Whisperers,town,13485,1760.09,1249.82,-61.9,42.61,289,18°C,Barcelona (Spain),,port,citadel,,,,,{t1:gules;division:{division:perBend;t:or;line:straight};charges:[{charge:frog;t:argent;p:l;size:0.7};{charge:lionHeadErased;t:vert;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Frostfang&population=13485&size=35&seed=5864998610601&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.48
602,Heartward,,,Neutrals,undefined,Beavers,The Whisperers,city,2646,791.1,1260.39,-63.19,-75.16,324,18°C,Barcelona (Spain),,,citadel,walls,,,,{t1:gules;division:{division:perPale;t:or;line:straight};charges:[{charge:bell;t:argent;p:p;t2:argent;size:0.7};{charge:plaice;t:vert;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Heartward&population=2646&size=19&seed=5864998610602&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
603,Astherisperu,,,Neutrals,undefined,Walrus-Kin,Cult of Identity,village,16489,2253.61,1258.51,-62.96,102.59,2916,1°C,Arkhangelsk (Russia),,,citadel,,,,,{t1:gules;division:{division:perFess;t:or;line:wavy};charges:[{charge:crescent;t:argent;p:k;size:0.7};{charge:monk;t:azure;p:n;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=16489&name=Astherisperu&seed=5864998610603&width=1600&height=780&style=snow&tags=dead+end%2Cuncultivated%2Cno+square%2Cdense
604,Heartlomer,,,Neutrals,undefined,Beavers,The Whisperers,city,12354,661.43,1272.06,-64.61,-90.91,324,17°C,Lisbon (Portugal),,,,,,,,{t1:gules;charges:[{charge:sabre2;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartlomer&population=12354&size=34&seed=5864998610604&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
605,Ceristix,,,Neutrals,undefined,Seahorses,The Whisperers,town,5507,510.9,1289.51,-66.73,-109.21,2116,5°C,Harbin (China),,port,citadel,,,,,{t1:gules;ordinaries:[{ordinary:bar;t:or;line:straight}];charges:[{charge:caravel;t:gules;p:def;t2:gules;t3:argent;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Ceristix&population=5507&size=25&seed=5864998610605&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
606,Aumia,,,Neutrals,undefined,Crustacean-Kin,The Whisperers,town,17447,101.33,1310.53,-69.28,-158.99,361,17°C,Lisbon (Portugal),,port,,walls,,,,{t1:sable;ordinaries:[{ordinary:pallReversed;t:or}];shield:heater},https://watabou.github.io/city-generator/?name=Aumia&population=17447&size=38&seed=5864998610606&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.91
607,Heartnail,,,Neutrals,undefined,Beavers,The Whisperers,town,26391,639.14,1310.48,-69.28,-93.62,324,17°C,Lisbon (Portugal),,,,,,,,{t1:vert;charges:[{charge:crossHummetty;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartnail&population=26391&size=45&seed=5864998610607&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
608,Heart,Heartshard,Heartshard Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,town,17214,1100.63,1307.37,-68.9,-37.54,256,17°C,Lisbon (Portugal),,port,,,,,,{t1:scaly-argent-vert;ordinaries:[{ordinary:chevron;t:sable}];shield:heater},https://watabou.github.io/city-generator/?name=Heart&population=17214&size=38&seed=5864998610608&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.48
609,Lightbeak,,,Neutrals,undefined,Elephant Seals,The Whisperers,village,8636,2033.45,1306.19,-68.75,75.83,324,17°C,Lisbon (Portugal),,port,,walls,,,,{t1:azure;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:crossHummetty;t:sable;p:ach;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=8636&name=Lightbeak&seed=5864998610609&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cpalisade%2Cdense
610,Ang's Guild,,,Neutrals,undefined,Crocodilians,The Whisperers,town,11080,2578.45,1344.21,-73.37,142.07,324,16°C,Dubrovnik (Croatia),,,,,,,,{t1:purpure;ordinaries:[{ordinary:bar;t:or;line:invecked}];charges:[{charge:laurelWreath;t:gules;p:def;t2:argent;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Ang%27s+Guild&population=11080&size=32&seed=5864998610610&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
611,Heartwarp,Heartwhirlia,Heartwhirlia Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,town,12123,860.06,1401.28,-80.31,-66.77,400,14°C,Washington (D.C.),,port,citadel,,,,,{t1:purpure;ordinaries:[{ordinary:pile;t:or}];charges:[{charge:drakkar;t:gules;p:b;t2:gules;t3:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartwarp&population=12123&size=33&seed=5864998610611&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.54
612,Heartecho,Heartweamia,Heartweamia Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,village,16588,992.1,1415.8,-82.08,-50.73,441,14°C,Washington (D.C.),,,,,,,,{t1:or;division:{division:gyronny;t:gules};ordinaries:[{ordinary:bendletSinister;t:azure;line:straight;divided:counter}];shield:heater},https://watabou.github.io/village-generator/?pop=16588&name=Heartecho&seed=5864998610612&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
613,Heartgame,,,Neutrals,undefined,Beavers,The Whisperers,town,42867,842.3,1431.8,-84.02,-68.93,256,15°C,Rome (Italy),,,,walls,,,,{t1:or;charges:[{charge:arbalest;t:azure;p:e;t2:azure;t3:vert;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartgame&population=42867&size=54&seed=5864998610613&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
614,Mornw,,,Neutrals,undefined,Reliance,The Whisperers,city,2699,1274.46,89.16,79.16,-16.41,324,8°C,Prague (Czechia),,,,walls,,,shanty town,{t1:or;charges:[{charge:fusil;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mornw&population=2699&size=19&seed=5864998610614&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=1&gates=-1&style=natural
615,Shadowfly,Thunderblast,Thunderblast Canton,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,village,2677,1946.89,96.68,78.25,65.31,289,9°C,Copenhagen (Denmark),,,citadel,,,,,{t1:sable;division:{division:gyronny;t:argent};charges:[{charge:arrow;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2677&name=Shadowfly&seed=5864998610615&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
616,Thunderblast,Thunderblast,Thunderblast Canton,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,town,19097,1976.37,95.2,78.43,68.89,361,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:purpure;line:wavy}];charges:[{charge:bell;t:or;p:e;t2:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Thunderblast&population=19097&size=40&seed=5864998610616&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
617,Astheles,Vesperuro,Vesperuro Land,Theocracy,Holy State of Theocracy,Dolphin-Kin,Siren Song,village,20590,100.67,116.46,75.85,-159.07,225,10°C,London (England),,,,walls,plaza,temple,,{t1:or;charges:[{charge:talbotSejant;t:azure;p:e;t2:azure;t3:azure;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=20590&name=Astheles&seed=5864998610617&width=1600&height=780&style=default&tags=isolated%2Cuncultivated%2Cpalisade%2Cdense
618,Stormpelt,Bonescalia,Bonescalia Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,29339,635.09,120.33,75.38,-94.12,256,9°C,Copenhagen (Denmark),,,,,plaza,,,{t1:purpure;charges:[{charge:lighthouse;t:or;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Stormpelt&population=29339&size=47&seed=5864998610618&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
619,Nightfury,Thunderblast,Thunderblast Canton,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,town,9808,1945.12,125.42,74.76,65.1,361,10°C,London (England),,,,,,,,{t1:azure;charges:[{charge:falcon;t:or;p:jln;t2:or;t3:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Nightfury&population=9808&size=31&seed=5864998610619&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
620,Grumtak,,,Neutrals,undefined,Manis,The Whisperers,town,23029,2450.1,154.54,71.22,126.47,225,12°C,Paris (France),,,,,,,,{t1:sable;charges:[{charge:comet;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grumtak&population=23029&size=42&seed=5864998610620&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
621,Frostshoutbi,Galia,Galia Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Rotting Vessel,village,18548,1479.57,165.87,69.84,8.52,361,11°C,Antwerp (Belgium),,port,,,,,,{t1:sable;division:{division:perCross;t:argent;line:straight};charges:[{charge:roundel2;t:or;p:jl;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=18548&name=Frostshoutbi&seed=5864998610621&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
622,Canopyleaf,,,Neutrals,undefined,Canopy-Climbers,The Whisperers,village,7028,1699.24,164.72,69.98,35.21,1936,0°C,Murmansk (Russia),,,,walls,,,,{t1:argent;charges:[{charge:crossBiparted;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=7028&name=Canopyleaf&seed=5864998610622&width=1600&height=780&style=snow&tags=island%2Cdistrict%2Cisolated%2Cno+orchards%2Cno+square%2Cpalisade%2Cdense
623,Grug,,,Neutrals,undefined,Manis,The Whisperers,town,2730,2484.67,169.22,69.43,130.67,289,11°C,Antwerp (Belgium),,,,,,,,{t1:sable;division:{division:perFess;t:argent;line:potentySinister};charges:[{charge:lozengeFaceted;t:or;p:k;size:0.7};{charge:axe;t:purpure;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grug&population=2730&size=19&seed=5864998610623&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
624,Canopyshano,,,Neutrals,undefined,Canopy-Climbers,The Whisperers,town,4177,1742.84,181.27,67.97,40.51,289,12°C,Paris (France),,port,,,,,,{t1:sable;charges:[{charge:dragonRampant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopyshano&population=4177&size=22&seed=5864998610624&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.38
625,Nightshard,Blodfang,Blodfang Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,25569,710.86,243.13,60.45,-84.91,324,13°C,Milan (Italy),,,,walls,,,,{t1:gules;charges:[{charge:bridge;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nightshard&population=25569&size=44&seed=5864998610625&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
626,Snowfury,,,Neutrals,undefined,Canid-Kin,The Whisperers,city,48194,1704.73,250.32,59.58,35.88,289,13°C,Milan (Italy),,port,citadel,walls,,,,{t1:or;division:{division:gyronny;t:gules};shield:heater},https://watabou.github.io/city-generator/?name=Snowfury&population=48194&size=56&seed=5864998610626&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
627,Xyxa,Mephria,Mephria Parish,Theocracy,Holy State of Theocracy,Dolphin-Kin,Siren Song,town,34892,401.78,259.35,58.48,-122.47,225,15°C,Rome (Italy),,,,,,temple,,{t1:argent;charges:[{charge:talbotSejant;t:sable;p:e;t2:sable;t3:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Xyxa&population=34892&size=50&seed=5864998610627&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&style=natural
628,Mon,Blodfang,Blodfang Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,9615,804.66,264.39,57.87,-73.51,361,14°C,Washington (D.C.),,,,,,,,{t1:azure;division:{division:perFess;t:argent;line:straight};charges:[{charge:mullet4;t:or;p:ABCDEFGHIJKL;size:0.18};{charge:lionRampant;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mon&population=9615&size=30&seed=5864998610628&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
629,Inerer,Inerer,Inerer Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,city,25582,1540.37,260.73,58.31,15.9,361,14°C,Washington (D.C.),,,,walls,,,,{t1:or;division:{division:gyronny;t:azure};charges:[{charge:saw;t:vert;p:jlh;t2:sable;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Inerer&population=25582&size=44&seed=5864998610629&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
630,Grunthorkun,Grugia,Grugia Canton,Scute,Scutean Confederacy,Manis,True Smelt,city,7827,2347.46,256.68,58.8,113.99,324,14°C,Washington (D.C.),,,citadel,,,,,{t1:argent;division:{division:perPale;t:azure;line:straight};charges:[{charge:snake;t:purpure;p:p;t2:purpure;size:0.7};{charge:dragonRampant;t:or;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grunthorkun&population=7827&size=28&seed=5864998610630&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
631,Grumpog,,,Neutrals,undefined,Manis,The Whisperers,town,20565,2557.32,258.93,58.53,139.5,324,14°C,Washington (D.C.),,port,citadel,,,,,{t1:argent;ordinaries:[{ordinary:pileInBendSinister;t:vert}];charges:[{charge:anchor;t:vert;p:ai;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grumpog&population=20565&size=41&seed=5864998610631&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
632,Mistshroud,Thornsuria,Thornsuria Governorate,Relience,Reliencean Republic,Salmon-Kin,The Whisperers,town,2819,1201.4,280.7,55.88,-25.29,256,15°C,Rome (Italy),,,,,,,,{t1:vert;charges:[{charge:unicornRampant;t:argent;p:e;t2:or;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mistshroud&population=2819&size=19&seed=5864998610632&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
633,Grunthrak,,,Neutrals,undefined,Manis,The Whisperers,village,29191,2561.98,277.73,56.24,140.06,289,15°C,Rome (Italy),,port,,,,,,{t1:bendy-argent-gules-small;charges:[{charge:inescutcheon;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=29191&name=Grunthrak&seed=5864998610633&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
634,Cerispelure,Aumixa,Aumixa Parish,Theocracy,Holy State of Theocracy,Dolphin-Kin,Siren Song,town,13983,482.11,293.35,54.35,-112.71,441,14°C,Washington (D.C.),,,,,,,,{t1:azure;ordinaries:[{ordinary:saltire;t:argent;line:wavy}];charges:[{charge:talbotSejant;t:azure;p:e;t2:azure;t3:azure;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Cerispelure&population=13983&size=35&seed=5864998610634&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
635,Canopysun,Canopysper,Canopysper Province,Canopy,Confederacy of Canopy,Canopy-Climbers,Toxic Liquidity,village,27709,1743,292.14,54.49,40.53,324,15°C,Rome (Italy),,port,,,,,,{t1:vert;ordinaries:[{ordinary:bendlet;t:argent;line:invecked}];charges:[{charge:bowWithArrow;t:purpure;p:joe;t2:argent;t3:argent;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=27709&name=Canopysun&seed=5864998610635&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
636,Grog,Grumphak,Grumphak Canton,Scute,Scutean Confederacy,Manis,The Whisperers,town,3025,2469.28,308.69,52.48,128.8,324,15°C,Rome (Italy),,,,,,,,{t1:gules;division:{division:perCross;t:argent;line:wavy};charges:[{charge:eagle;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grog&population=3025&size=20&seed=5864998610636&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
637,Canopybre,Cadeze,Cadeze Province,Canopy,Confederacy of Canopy,Canopy-Climbers,True Smelt,town,27837,1940.59,332.41,49.6,64.54,576,14°C,Washington (D.C.),,,,,,,,{t1:argent;division:{division:perFess;t:azure;line:straight};ordinaries:[{ordinary:canton;t:purpure}];shield:heater},https://watabou.github.io/city-generator/?name=Canopybre&population=27837&size=46&seed=5864998610637&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
